,iteration,num_vars,score,improve_percent,new_var
94,6,5,0.6413614722632365,-0.0254070403871033,sqft_living15
95,6,6,0.733662366699311,0.1439139992465763,yr_built
96,6,7,0.7523561663597993,0.025480112527224572,sqft_lot15
97,6,8,0.7536915897082063,0.0017749882410990072,yr_renovated
98,6,9,0.7409453941917288,-0.016911686013920114,sqft_basement
99,6,10,0.7623064563075741,0.028829468788516256,waterfront
100,6,11,0.725291473191703,-0.04855656515774859,bedrooms
101,6,12,0.7428032624454641,0.0241444852187482,condition
102,6,13,0.7424142014784634,-0.0005237739071310532,sqft_lot
103,6,14,0.7952348444963133,0.07114713446033429,sqft_living
104,6,15,0.7947752363446275,-0.0005779527329148692,sqft_above
105,7,1,0.5673468873783927,10.346937747567852,grade
106,7,2,0.5221253958490426,-0.079706952722188,sqft_living15
